127.0.0.1 - - [30/Aug/2025:10:28:35 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:28:38 +0530] "GET /RAILWAYTICKETBOOKINGAPP/NavAdmin.jsp HTTP/1.1" 200 1717
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:28:38 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:28:56 +0530] "GET /RAILWAYTICKETBOOKINGAPP/NavAdmin.jsp HTTP/1.1" 200 1717
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:28:58 +0530] "GET /RAILWAYTICKETBOOKINGAPP/NavAdmin.jsp HTTP/1.1" 200 1717
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:29:12 +0530] "GET /RAILWAYTICKETBOOKINGAPP/NavAdmin.jsp HTTP/1.1" 200 1717
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:29:22 +0530] "GET /RAILWAYTICKETBOOKINGAPP/NavAdmin.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:29:37 +0530] "GET /RAILWAYTICKETBOOKINGAPP/NavAdmin.jsp HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:29:49 +0530] "GET /RAILWAYTICKETBOOKINGAPP/NavAdmin.jsp HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:30:02 +0530] "GET /RAILWAYTICKETBOOKINGAPP/NavAdmin.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:30:11 +0530] "GET /RAILWAYTICKETBOOKINGAPP/NavAdmin.jsp HTTP/1.1" 200 1717
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:33:10 +0530] "GET /RAILWAYTICKETBOOKINGAPP/NavAdmin.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:33:34 +0530] "GET /RAILWAYTICKETBOOKINGAPP/NavAdmin.jsp HTTP/1.1" 200 1724
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:34:04 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:34:22 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:34:51 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:34:53 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:35:03 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:35:19 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:35:20 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:35:27 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:35:51 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:36:09 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2310
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:36:38 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:37:01 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:37:16 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:37:51 +0530] "GET /FOODAPP/Home.jsp HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:37:59 +0530] "GET /FOODAPP/Register.jsp HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [30/Aug/2025:10:38:03 +0530] "GET /FOODAPP/Login.jsp HTTP/1.1" 200 921
